m_i	m_j	r_ij	J	D_x	D_y	D_z
-1.193	1.308	2.79205	43.34667	5.331	4.585	-0.891
-1.193	1.851	2.86372	67.68267	-0.421	1.888	-1.846
-1.193	1.729	2.98366	24.32133	-0.841	-4.4	0.227
-1.193	-0.132	3.20233	-3.45367	-0.108	0.08	0.216
-1.557	1.138	2.93926	-62.89467	2.843	0.274	2.01
-1.557	1.722	3.15877	-1.087	0.482	-4.939	3.81
-1.557	-1.306	3.06648	12.05533	-2.654	-3.252	2.346
-1.557	-1.892	2.42196	-350.89933	9.89	1.484	9.588
-1.557	1.626	2.94407	13.34533	-1.499	-2.652	0.352
-1.557	1.761	2.9522	10.85133	1.063	5.68	-0.97
-1.557	-1.848	2.37667	-364.67533	3.186	-1.508	-6.493
1.138	1.549	2.50268	-246.73667	2.933	-0.982	9.661
1.138	1.722	2.51479	-308.445	-4.492	2.092	-1.04
1.138	1.308	2.59027	-116.993	7.63	-3.201	-7.466
1.138	1.287	2.9231	14.83767	0.811	-1.16	4.151
1.623	-0.543	3.13484	2.56933	-3.888	-1.785	0.46
1.623	-2.006	3.37194	-64.53933	1.739	0.274	-3.696
1.623	2.308	2.49873	-526.96267	12.383	1.844	-3.958
1.623	1.95	3.39194	-53.12167	0.47	-1.87	-3.031
1.872	0.974	2.53853	-167.17967	-2.383	2.872	-3.165
1.872	2.586	2.47268	-232.21133	3.384	-2.659	-0.013
1.872	-1.73	2.82626	28.89767	-0.141	4.602	3.16
1.872	1.889	2.50576	-226.77267	-1.071	-2.198	3.039
1.872	-0.543	2.69482	-4.808	0.364	0.439	-0.673
1.872	1.759	2.98174	-93.33133	-2.872	0.285	-4.655
1.872	1.337	2.61544	-102.962	0.293	0.838	3.214
-0.217	-1.306	2.77887	-12.57933	-0.201	0.142	0.287
-0.217	1.893	2.92117	-9.259	0.331	1.42	-0.39
-0.217	1.293	2.77977	19.75067	0.498	-0.183	-0.756
-0.217	-1.848	3.10323	2.302	-0.421	-0.305	1.439
0.644	1.626	2.68584	-131.45433	-0.907	2.898	0.194
0.644	1.293	2.84659	-39.80867	-1.641	3.086	1.18
0.644	-1.848	2.81506	36.58033	1.469	-3.622	-0.628
1.915	2.056	2.50407	-403.54333	3.948	1.283	-2.976
1.915	1.344	3.07896	-51.66133	-1.257	3.748	-2.031
1.915	1.903	2.51108	-185.51533	1.224	8.681	-10.001
1.915	1.854	2.53603	-206.36033	-2.003	-3.526	3.703
1.915	-2.006	2.80659	32.86933	1.479	-1.651	-1.104
1.915	2.031	2.89013	84.28633	0.225	-0.709	-3.22
1.915	2.395	2.90524	84.31967	3.285	-6.748	5.975
1.549	1.308	2.93222	73.986	-1.335	2.071	2.261
1.549	1.344	2.98668	41.72867	0.849	-0.395	8.63
1.549	1.851	3.25358	-85.44533	-1.794	1.644	6.327
1.549	1.287	3.0677	1.11433	-1.603	-0.682	-2.739
1.549	2.395	3.41682	-71.505	-4.846	-5.183	2.386
0.974	2.056	2.38633	-312.75933	0.447	-2.543	2.137
0.974	-1.73	2.59186	-53.46567	5.476	2.346	-2.267
0.974	1.167	2.80837	-74.00033	-3.054	-0.186	2.372
0.974	2.395	2.91385	-33.55467	1.794	-3.047	0.886
2.586	1.722	2.74913	-70.72467	2.598	3.507	-0.719
2.586	1.889	2.79268	-44.13	1.269	-4.437	6.22
2.586	1.287	2.57991	-94.472	0.318	0.744	-0.564
2.586	-0.543	2.90464	10.67	-2.247	2.214	-0.127
2.586	1.293	2.48131	-237.71833	1.117	3.985	9.298
2.586	1.95	2.39717	-245.76733	-1.856	3.044	5.998
2.586	1.337	2.79171	10.90333	0.561	-3.307	-2.977
1.722	-1.892	3.44476	37.055	1.247	-1.527	-0.086
1.722	1.889	2.37196	-145.69167	4.995	-5.208	-3.046
1.722	1.287	2.5007	-163.846	-1.626	2.973	1.085
1.722	1.95	2.39181	-218.459	-1.333	-0.707	-1.579
1.722	1.71	2.83056	-8.03467	-3.696	0.547	-2.604
1.722	1.761	2.41156	-155.565	-2.72	4.47	6.559
1.308	1.893	2.60025	-254.52667	0.841	4.766	0.975
1.308	1.851	2.58351	-204.52533	-3.196	2.845	2.908
1.308	1.494	3.10595	-57.21867	2.357	-0.245	5.269
-1.306	1.293	2.73583	22.881	-0.317	2.214	1.355
-1.306	1.854	2.61349	12.911	2.502	-4.052	3.829
-1.306	1.71	2.61493	-27.10767	-6.958	0.794	3.53
-1.306	1.761	2.68951	10.62867	-0.846	3.725	-0.171
-1.306	-1.848	3.24263	-76.639	-3.586	0.261	-7.286
2.056	1.903	3.03669	18.181	-7.922	-1.954	-3.409
2.056	1.167	3.17986	-26.208	-0.352	-0.609	-0.531
2.056	2.031	2.38289	-505.978	-7.447	8.767	-3.07
2.056	2.395	2.53696	-192.955	-0.907	-3.588	-7.528
-1.892	-1.903	2.49424	-449.034	-4.082	-4.229	1.27
-1.892	1.626	2.84338	-108.31667	8.956	0.457	-0.355
-1.892	1.95	2.81495	-42.36367	5.689	1.479	-3.725
-1.892	1.761	2.74567	-66.94533	4.773	1.061	4.68
1.574	1.854	2.43813	-75.616	-1.779	-0.204	3.697
1.574	-2.006	2.84296	-39.39367	1.799	5.739	3.565
1.574	2.308	2.83455	-172.636	-2.438	2.208	0.548
1.574	2.031	2.39315	-403.83367	-2.439	3.392	1.086
1.574	1.761	2.72186	-94.893	0.904	1.545	-1.16
1.521	1.344	2.53461	-247.217	-6.524	-1.738	1.772
1.521	1.729	2.44983	-519.48933	0.25	-2.366	2.398
1.521	2.308	3.18305	-110.35133	4.763	1.505	2.825
1.521	0.067	2.97942	0.679	-0.051	0.168	0.089
1.344	1.626	2.46342	-473.96267	-2.877	-4.804	2.436
1.344	2.395	2.59537	-363.377	-4.545	1.182	-2.332
1.893	1.729	2.68812	-41.88133	1.221	-2.567	4.139
1.893	1.799	2.57529	-296.53267	-2.12	1.959	13.935
1.893	1.293	2.49916	-208.67533	-10.497	1.847	-3.323
1.893	1.494	3.46687	-32.38033	-2.923	-1.849	0.004
-1.903	-1.73	2.42085	-555.96367	-1.493	-8.872	-6.146
-1.903	0.067	2.73882	-2.38	-0.296	-0.008	-0.595
1.851	1.167	2.84966	-17.17167	-0.216	2.543	3.945
1.851	2.395	2.7294	-303.39333	7.535	3.887	-5.075
1.729	1.799	2.87632	-123.42433	-4.444	-2.198	-4.283
1.729	2.308	2.73112	-89.73667	-1.123	1.706	-1.093
1.626	-1.848	3.1031	-13.11267	-12.446	-1.278	8.507
