# Fe atom neighbor summary (2.25-3.5 Å)
# Fe_index eig_max N_Fe N_Ge N_total
Fe 29   0.041   2   7   9
Fe  6   0.042   4   7  11
Fe 45   0.064   3   7  10
Fe 34   0.188   6   5  11
Fe  7   0.207   3   7  10
Fe 30   0.268   7   5  12
Fe 10   0.269   5   5  10
Fe 17   0.285   5   5  10
Fe 13   0.290   6   6  12
Fe 28   0.296   5   5  10
Fe 32   0.308   6   5  11
Fe 44   0.337   4   5   9
Fe 14   0.338   7   5  12
Fe  9   0.451   6   7  13
Fe 33   0.483  10   4  14
Fe 38   0.488   6   5  11
Fe 35   0.489   3   6   9
Fe 19   0.493   5   5  10
Fe  3   0.510   5   6  11
Fe  1   0.543   4   7  11
Fe 18   0.545   4   7  11
Fe 46   0.561   5   6  11
Fe 41   0.625   8   5  13
Fe 40   0.648   6   5  11
Fe 42   0.668   8   6  14
Fe 22   0.671   5   7  12
Fe 24   0.682   5   7  12
Fe 23   0.705   5   6  11
Fe 36   0.719   8   6  14
Fe 26   0.747   6   7  13
Fe 20   0.762   6   7  13
Fe 15   0.793   6   6  12
Fe 16   0.805   6   6  12
Fe  8   0.833   7   5  12
Fe 21   0.853   3   7  10
Fe 43   0.963   2   7   9
Fe  2   0.995   7   5  12
Fe 11   1.005   8   7  15
Fe  5   1.018   7   5  12
Fe 48   1.023   5   8  13
Fe 31   1.040   7   5  12
Fe  4   1.122   4   6  10
Fe 39   1.127  10   3  13
Fe 37   1.137   4   6  10
Fe 12   1.228   9   4  13
Fe 47   1.312  10   4  14
Fe 27   1.330  10   3  13
Fe 25   1.340   5   7  12
