Mx My Mz abs(M)
-0.023 -0.021 2.243 2.24322
-0.004 0.002 0.612 0.612016
0.016 0.043 -0.712 0.713477
0.078 0.015 -1.342 1.34435
-0.010 -0.057 2.042 2.04282
-0.000 0.038 2.092 2.09235
0.035 0.014 -1.528 1.52846
-0.000 -0.021 1.311 1.31117
0.051 0.032 1.684 1.68508
-0.000 -0.016 -0.712 0.71218
0.013 0.108 2.082 2.08484
0.001 -0.024 2.271 2.27113
0.029 0.017 2.317 2.31724
0.075 0.251 -1.393 1.41742
0.038 -0.080 -2.111 2.11286
-0.059 -0.069 1.942 1.94412
0.005 -0.026 1.686 1.68621
-0.003 0.019 2.089 2.08909
-0.019 -0.026 0.763 0.763679
0.087 -0.044 -1.672 1.67484
0.007 0.004 0.253 0.253128
-0.014 0.021 2.436 2.43613
0.003 0.001 0.464 0.464011
-0.051 -0.024 1.866 1.86685
0.019 0.008 1.495 1.49514
0.011 -0.014 2.226 2.22607
-0.021 -0.029 1.847 1.84735
-0.011 0.037 1.523 1.52349
0.013 0.063 2.182 2.18295
-0.004 -0.008 1.761 1.76102
0.003 0.018 0.521 0.521319
-0.043 -0.025 1.851 1.85167
-0.002 0.048 1.851 1.85162
-0.019 -0.048 2.037 2.03765
0.007 0.002 1.640 1.64002
-0.126 -0.287 -1.901 1.92667
0.021 0.061 2.169 2.16996
-0.008 -0.016 2.157 2.15707
0.004 0.021 0.607 0.607376
0.112 0.331 -1.664 1.70029
0.007 0.010 1.803 1.80304
0.008 0.049 1.582 1.58278
0.008 0.015 0.892 0.892162
0.001 0.006 -0.026 0.0267021
0.058 0.027 -1.938 1.93906
0.003 0.039 1.385 1.38555
-0.028 -0.031 1.663 1.66352
-0.018 -0.042 0.782 0.783334
