Mx My Mz abs(M)
-0.052 -0.109 -1.718 1.72224
0.053 -0.010 1.338 1.33909
0.007 0.021 1.714 1.71414
-0.012 0.050 1.391 1.39195
0.034 0.003 1.976 1.97629
0.016 0.056 1.845 1.84592
0.017 0.055 1.206 1.20737
0.008 0.051 1.208 1.2091
-0.004 0.060 1.428 1.42927
0.009 0.009 0.173 0.173468
-0.017 0.038 1.058 1.05882
0.038 0.013 1.553 1.55352
-0.005 -0.004 -0.588 0.588035
0.003 0.095 2.046 2.04821
-0.083 -0.168 -2.254 2.26178
0.207 -0.269 -0.451 0.564456
-0.012 0.011 2.406 2.40606
-0.061 0.052 -1.691 1.6929
0.010 0.052 1.628 1.62886
0.013 -0.023 -1.605 1.60522
0.028 0.053 2.132 2.13284
0.014 0.028 1.174 1.17442
0.027 0.080 2.061 2.06273
0.019 0.017 1.875 1.87517
0.027 0.056 2.304 2.30484
0.018 0.065 2.016 2.01713
0.000 -0.014 -0.564 0.564174
0.021 0.035 2.198 2.19838
-0.012 0.087 2.196 2.19776
0.015 0.063 0.774 0.776705
-0.075 0.070 -1.395 1.39877
-0.016 0.007 -0.222 0.222686
0.025 0.020 1.383 1.38337
-0.003 0.018 0.371 0.371449
-0.013 0.070 1.482 1.48371
0.010 0.033 0.845 0.845703
0.012 0.044 1.801 1.80158
0.007 0.039 2.264 2.26435
0.025 0.067 2.340 2.34109
0.043 0.048 1.966 1.96706
-0.046 0.076 1.863 1.86512
0.014 0.094 2.123 2.12513
-0.050 -0.130 -1.488 1.4945
0.020 0.003 1.884 1.88411
0.028 0.010 1.321 1.32133
0.046 0.013 1.944 1.94459
-0.005 0.094 1.795 1.79747
0.000 0.003 0.639 0.639007
